248,46,2635,6,290,"__pyx_pf_5geomm_8pyqcprot_2CalcRMSDRotationalMatrix@2809-3098@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_pf_5geomm_8pyqcprot_2CalcRMSDRotationalMatrix","__pyx_pf_5geomm_8pyqcprot_2CalcRMSDRotationalMatrix( CYTHON_UNUSED PyObject * __pyx_self , PyArrayObject * __pyx_v_ref , PyArrayObject * __pyx_v_conf , int __pyx_v_N , PyArrayObject * __pyx_v_rot , PyArrayObject * __pyx_v_weights)",2809,3098
84,24,760,3,86,"__pyx_pw_5geomm_8pyqcprot_5FastCalcRMSDAndRotation@3112-3197@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_pw_5geomm_8pyqcprot_5FastCalcRMSDAndRotation","__pyx_pw_5geomm_8pyqcprot_5FastCalcRMSDAndRotation( PyObject * __pyx_self , PyObject * __pyx_args , PyObject * __pyx_kwds)",3112,3197
736,160,7180,5,1824,"__pyx_pf_5geomm_8pyqcprot_4FastCalcRMSDAndRotation@3199-5022@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_pf_5geomm_8pyqcprot_4FastCalcRMSDAndRotation","__pyx_pf_5geomm_8pyqcprot_4FastCalcRMSDAndRotation( CYTHON_UNUSED PyObject * __pyx_self , PyArrayObject * __pyx_v_rot , PyArrayObject * __pyx_v_A , double __pyx_v_E0 , int __pyx_v_N)",3199,5022
8,1,61,3,10,"__pyx_pw_5numpy_7ndarray_1__getbuffer__@5034-5043@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_pw_5numpy_7ndarray_1__getbuffer__","__pyx_pw_5numpy_7ndarray_1__getbuffer__( PyObject * __pyx_v_self , Py_buffer * __pyx_v_info , int __pyx_v_flags)",5034,5043
228,39,1565,3,742,"__pyx_pf_5numpy_7ndarray___getbuffer__@5045-5786@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_pf_5numpy_7ndarray___getbuffer__","__pyx_pf_5numpy_7ndarray___getbuffer__( PyArrayObject * __pyx_v_self , Py_buffer * __pyx_v_info , int __pyx_v_flags)",5045,5786
6,1,43,2,8,"__pyx_pw_5numpy_7ndarray_3__releasebuffer__@5798-5805@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_pw_5numpy_7ndarray_3__releasebuffer__","__pyx_pw_5numpy_7ndarray_3__releasebuffer__( PyObject * __pyx_v_self , Py_buffer * __pyx_v_info)",5798,5805
14,3,86,2,72,"__pyx_pf_5numpy_7ndarray_2__releasebuffer__@5807-5878@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_pf_5numpy_7ndarray_2__releasebuffer__","__pyx_pf_5numpy_7ndarray_2__releasebuffer__( PyArrayObject * __pyx_v_self , Py_buffer * __pyx_v_info)",5807,5878
20,2,118,1,38,"__pyx_f_5numpy_PyArray_MultiIterNew1@5888-5925@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_PyArray_MultiIterNew1","__pyx_f_5numpy_PyArray_MultiIterNew1( PyObject * __pyx_v_a)",5888,5925
20,2,130,2,38,"__pyx_f_5numpy_PyArray_MultiIterNew2@5935-5972@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_PyArray_MultiIterNew2","__pyx_f_5numpy_PyArray_MultiIterNew2( PyObject * __pyx_v_a , PyObject * __pyx_v_b)",5935,5972
20,2,142,3,38,"__pyx_f_5numpy_PyArray_MultiIterNew3@5982-6019@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_PyArray_MultiIterNew3","__pyx_f_5numpy_PyArray_MultiIterNew3( PyObject * __pyx_v_a , PyObject * __pyx_v_b , PyObject * __pyx_v_c)",5982,6019
20,2,154,4,38,"__pyx_f_5numpy_PyArray_MultiIterNew4@6029-6066@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_PyArray_MultiIterNew4","__pyx_f_5numpy_PyArray_MultiIterNew4( PyObject * __pyx_v_a , PyObject * __pyx_v_b , PyObject * __pyx_v_c , PyObject * __pyx_v_d)",6029,6066
20,2,166,5,38,"__pyx_f_5numpy_PyArray_MultiIterNew5@6076-6113@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_PyArray_MultiIterNew5","__pyx_f_5numpy_PyArray_MultiIterNew5( PyObject * __pyx_v_a , PyObject * __pyx_v_b , PyObject * __pyx_v_c , PyObject * __pyx_v_d , PyObject * __pyx_v_e)",6076,6113
23,2,113,1,65,"__pyx_f_5numpy_PyDataType_SHAPE@6123-6187@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_PyDataType_SHAPE","__pyx_f_5numpy_PyDataType_SHAPE( PyArray_Descr * __pyx_v_d)",6123,6187
353,112,3686,4,737,"__pyx_f_5numpy__util_dtypestring@6197-6933@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy__util_dtypestring","__pyx_f_5numpy__util_dtypestring( PyArray_Descr * __pyx_v_descr , char * __pyx_v_f , char * __pyx_v_end , int * __pyx_v_offset)",6197,6933
7,1,41,2,33,"__pyx_f_5numpy_set_array_base@6943-6975@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_set_array_base","__pyx_f_5numpy_set_array_base( PyArrayObject * __pyx_v_arr , PyObject * __pyx_v_base)",6943,6975
22,2,115,1,72,"__pyx_f_5numpy_get_array_base@6985-7056@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_get_array_base","__pyx_f_5numpy_get_array_base( PyArrayObject * __pyx_v_arr)",6985,7056
62,5,390,1,120,"__pyx_f_5numpy_import_array@7066-7185@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_import_array","__pyx_f_5numpy_import_array( void)",7066,7185
62,5,390,1,120,"__pyx_f_5numpy_import_umath@7195-7314@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_import_umath","__pyx_f_5numpy_import_umath( void)",7195,7314
62,5,390,1,117,"__pyx_f_5numpy_import_ufunc@7324-7440@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__pyx_f_5numpy_import_ufunc","__pyx_f_5numpy_import_ufunc( void)",7324,7440
9,5,96,1,9,"__Pyx_InitCachedBuiltins@7616-7624@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_InitCachedBuiltins","__Pyx_InitCachedBuiltins( void)",7616,7624
45,15,800,1,133,"__Pyx_InitCachedConstants@7626-7758@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_InitCachedConstants","__Pyx_InitCachedConstants( void)",7626,7758
8,4,80,1,8,"__Pyx_InitGlobals@7760-7767@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_InitGlobals","__Pyx_InitGlobals( void)",7760,7767
6,1,21,1,7,"__Pyx_modinit_global_init_code@7777-7783@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_modinit_global_init_code","__Pyx_modinit_global_init_code( void)",7777,7783
6,1,21,1,7,"__Pyx_modinit_variable_export_code@7785-7791@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_modinit_variable_export_code","__Pyx_modinit_variable_export_code( void)",7785,7791
6,1,21,1,7,"__Pyx_modinit_function_export_code@7793-7799@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_modinit_function_export_code","__Pyx_modinit_function_export_code( void)",7793,7799
6,1,21,1,7,"__Pyx_modinit_type_init_code@7801-7807@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_modinit_type_init_code","__Pyx_modinit_type_init_code( void)",7801,7807
32,10,308,1,36,"__Pyx_modinit_type_import_code@7809-7844@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_modinit_type_import_code","__Pyx_modinit_type_import_code( void)",7809,7844
6,1,21,1,7,"__Pyx_modinit_variable_import_code@7846-7852@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_modinit_variable_import_code","__Pyx_modinit_variable_import_code( void)",7846,7852
6,1,21,1,7,"__Pyx_modinit_function_import_code@7854-7860@src/geomm/pyqcprot.c","src/geomm/pyqcprot.c","__Pyx_modinit_function_import_code","__Pyx_modinit_function_import_code( void)",7854,7860
